id,name,property_value,agi,retail_value,comp_index,population,white_population,african_american_population,asian_population,other_population,sq_mi
0,Accomack County,4451393611.00,535509744.00,271079648.00,0.3719,32316,21899,9304,257,856,455.0
1,Albemarle County,18722429089.00,3178963481.00,1108475225.00,0.6502,109330,89388,10600,6051,3291,723.0
2,Alleghany County,1193877227.00,269993000.00,63621550.00,0.2297,14860,13783,698,46,333,446.0
3,Amelia County,1471101455.00,228781960.00,52631040.00,0.3473,13145,10050,2688,80,327,357.0
4,Amherst County,2940532414.00,525117321.00,225671259.00,0.3075,31605,24299,6041,180,1085,475.0
5,Appomattox County,1390121858.00,247934156.00,77312061.00,0.2945,15911,12521,2951,61,378,334.0
6,Arlington County,60313707986.00,10381698517.00,2959336528.00,0.8,236842,177639,22922,25945,10336,26.0
7,Augusta County,8697115964.00,1440303585.00,394755753.00,0.3627,75558,70102,3518,490,1448,971.0
8,Bath County,2554342263.00,91376356.00,59861255.00,0.8,4147,3853,201,20,73,532.0
9,Bedford County,9799015089.00,1534183181.00,335456497.00,0.4268,78997,70750,5697,975,1575,755.0
10,Bland County,715482876.00,98373937.00,15489051.00,0.3029,6280,5919,250,36,75,359.0
11,Botetourt County,3873486982.00,766184164.00,166563450.00,0.371,33419,31456,1093,262,608,543.0
12,Brunswick County,1555159665.00,211170894.00,53669629.00,0.2837,16231,6881,8890,151,309,566.0
13,Buchanan County,2738821286.00,333508188.00,127560716.00,0.3263,21004,20013,710,93,188,504.0
14,Buckingham County,1521850858.00,208360136.00,106085130.00,0.3104,17148,10850,5783,74,441,581.0
15,Campbell County,4171727992.00,918220201.00,370419571.00,0.2655,54885,44735,8123,592,1435,504.0
16,Caroline County,2876250243.00,565699218.00,110948698.00,0.3306,30725,20639,8349,347,1390,533.0
17,Carroll County,2863037039.00,372833027.00,132878892.00,0.2831,29791,28964,263,68,496,476.0
18,Charles City County,976467743.00,143623749.00,20564186.00,0.4483,6963,3116,3093,44,710,182.0
19,Charlotte County,1092616972.00,169179451.00,44121579.00,0.2365,11880,8302,3281,34,263,475.0
20,Chesterfield County,34170453428.00,8384040920.00,3345047845.00,0.3539,352802,240557,86561,12959,12725,426.0
21,Clarke County,2264920530.00,422765870.00,71433980.00,0.4892,14619,13251,681,210,477,177.0
22,Craig County,541562085.00,83653660.00,12886883.00,0.3163,5131,5032,23,8,68,330.0
23,Culpeper County,5281074170.00,1014489930.00,480170802.00,0.3668,52605,41789,7672,892,2252,381.0
24,Cumberland County,1069699525.00,136107935.00,29821670.00,0.2971,9932,6540,3029,46,317,298.0
25,Dickenson County,1517983403.00,198111502.00,64054958.00,0.2547,14318,14063,76,32,147,333.0
26,Dinwiddie County,2889082395.00,489339910.00,95609217.00,0.285,28544,18490,9196,240,618,504.0
27,Essex County,1602160518.00,198756646.00,164186905.00,0.4364,10953,6273,4100,127,453,258.0
28,Fairfax County,218889435802.00,47640758200.00,12932168326.00,0.6789,1147532,742178,121954,231085,52315,396.0
29,Fauquier County,11942754221.00,2306956870.00,587631303.00,0.5377,71222,61981,5574,1230,2437,650.0
30,Floyd County,1836002655.00,238559214.00,59345578.00,0.344,15749,15046,319,84,300,382.0
31,Fluvanna County,3451515106.00,531321109.00,90658684.00,0.3924,27270,22003,4160,257,850,287.0
32,Franklin County,7957254842.00,931336456.00,340399968.00,0.4181,56042,50202,4430,263,1147,692.0
33,Frederick County,8239674671.00,1880092732.00,813226140.00,0.3601,89313,80867,4225,1573,2648,415.0
34,Giles County,1341666055.00,275469326.00,124648378.00,0.2706,16720,16097,267,97,259,358.0
35,Gloucester County,4635615530.00,814446887.00,333790286.00,0.3798,37348,32799,2983,333,1233,217.0
36,Goochland County,5273258201.00,1048774887.00,194700272.00,0.8,23753,19106,3743,409,495,284.0
37,Grayson County,1915208078.00,198634460.00,35319877.00,0.3385,15550,14381,893,32,244,443.0
38,Greene County,2343267306.00,359663639.00,105375993.00,0.3724,19819,17358,1450,394,617,157.0
39,Greensville County,746838875.00,190573081.00,35419647.00,0.2174,11336,4281,6823,79,153,296.0
40,Halifax County,3793992927.00,517691742.00,270520889.00,0.2943,33911,20746,12305,237,623,814.0
41,Hanover County,13548365625.00,2839509086.00,1438740565.00,0.4203,107766,92633,10264,2094,2775,473.0
42,Henrico County,35833063765.00,8292268311.00,4632418985.00,0.4276,330818,188617,102135,30152,9914,238.0
43,Henry County,3356872357.00,749213920.00,343985994.00,0.243,50557,37625,11434,254,1244,382.0
44,Highland County,812256710.00,37733245.00,7978254.00,0.8,2190,2138,24,14,14,416.0
45,Isle Of Wight County,5011976295.00,877326673.00,200079929.00,0.4258,37109,26981,8617,363,1148,316.0
46,James City County,11704349566.00,2002634441.00,787049384.00,0.5628,76523,61473,10433,2023,2594,143.0
47,King George County,3048840616.00,611890026.00,108703459.00,0.3787,26836,20900,4311,432,1193,180.0
48,King And Queen County,912792994.00,125931366.00,10935587.00,0.4469,7025,4844,1840,35,306,316.0
49,King William County,1477048296.00,280287821.00,60825620.00,0.3375,17148,13608,2645,193,702,275.0
50,Lancaster County,3066525255.00,262669013.00,156915351.00,0.7934,10603,7315,3011,83,194,133.0
51,Lee County,1138598241.00,283189934.00,122851363.00,0.1826,23423,22140,872,71,340,437.0
52,Loudoun County,60025322925.00,12996829711.00,4113301056.00,0.5666,413538,277252,33465,84135,18686,520.0
53,Louisa County,7378492832.00,665566237.00,172685317.00,0.5659,37591,30378,5846,243,1124,498.0
54,Lunenburg County,966577224.00,157484480.00,36919723.00,0.2535,12196,7672,4130,42,352,432.0
55,Madison County,2065582569.00,271463594.00,71755844.00,0.4486,13261,11521,1229,83,428,322.0
56,Mathews County,1936040362.00,200403944.00,37936707.00,0.5589,8834,7783,747,77,227,86.0
57,Mecklenburg County,4245951586.00,477336257.00,298261310.00,0.365,30587,19040,10570,257,720,624.0
58,Middlesex County,2665733193.00,226564895.00,78146239.00,0.7232,10582,8475,1759,51,297,130.0
59,Montgomery County,7571036490.00,1828461254.00,897455302.00,0.4053,98535,85207,4238,6245,2845,388.0
60,Nelson County,3296671052.00,302922511.00,78531849.00,0.5928,14930,12685,1701,113,431,472.0
61,New Kent County,2612081661.00,495356331.00,96749625.00,0.4414,23091,18662,3200,282,947,210.0
62,Northampton County,2438752588.00,214924855.00,107848718.00,0.5103,11710,7341,3952,122,295,207.0
63,Northumberland County,3720688654.00,260841950.00,61993865.00,0.8,12095,8757,3022,62,254,192.0
64,Nottoway County,1020120983.00,226315885.00,110611764.00,0.2447,15232,8763,5990,85,394,315.0
65,Orange County,4159528827.00,762194193.00,189399791.00,0.3842,37051,30473,4912,399,1267,342.0
66,Page County,2519461772.00,373571393.00,153255687.00,0.3143,23902,22832,532,121,417,311.0
67,Patrick County,1868573620.00,230675685.00,79025076.00,0.2866,17608,16285,927,59,337,483.0
68,Pittsylvania County,4630668758.00,992581688.00,157896368.00,0.2475,60354,45990,12970,303,1091,978.0
69,Powhatan County,3768071226.00,714500138.00,259048779.00,0.423,29652,26096,2726,178,652,261.0
