"comp_year","div_num","div_name","property","agi_incl","agi_excl","retail","march_adm","population","compind_incl","compind_excl","compind"
"2000-2002",1,"ACCOMACK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3151
"2000-2002",2,"ALBEMARLE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6339
"2000-2002",3,"ALLEGHANY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3128
"2000-2002",4,"AMELIA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.35
"2000-2002",5,"AMHERST",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3182
"2000-2002",6,"APPOMATTOX",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3121
"2000-2002",7,"ARLINGTON",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8
"2000-2002",8,"AUGUSTA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3638
"2000-2002",9,"BATH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8
"2000-2002",10,"BEDFORD COUNTY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3996
"2000-2002",11,"BLAND",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2748
"2000-2002",12,"BOTETOURT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4148
"2000-2002",13,"BRUNSWICK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2822
"2000-2002",14,"BUCHANAN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2573
"2000-2002",15,"BUCKINGHAM",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2694
"2000-2002",16,"CAMPBELL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3056
"2000-2002",17,"CAROLINE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3169
"2000-2002",18,"CARROLL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2952
"2000-2002",19,"CHARLES CITY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4048
"2000-2002",20,"CHARLOTTE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2469
"2000-2002",21,"CHESTERFIELD",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4055
"2000-2002",22,"CLARKE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.517
"2000-2002",23,"CRAIG",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3416
"2000-2002",24,"CULPEPER",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3999
"2000-2002",25,"CUMBERLAND",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3394
"2000-2002",26,"DICKENSON",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2358
"2000-2002",27,"DINWIDDIE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.294
"2000-2002",28,"ESSEX",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4529
"2000-2002",29,"FAIRFAX COUNTY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7171
"2000-2002",30,"FAUQUIER",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6115
"2000-2002",31,"FLOYD",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3496
