zip,total,total_error,white_total,white_error,african_american_total,african_american_error,asian_total,asian_error,other_race_total,other_race_error,multiracial_total,multiracial_error
20105,25168,1038,13554,891,3005,445,61,6923,143,147,3086,1273
20106,5087,461,4586,455,237,162,36,52,34,70,356,268
20109,43093,1265,25114,1883,6809,957,313,3875,4850,1407,4890,1593
20110,47574,862,30998,899,6746,408,237,2578,4793,1196,4918,1246
20111,36375,713,24006,1155,3992,616,30,3612,3076,922,3378,1027
20112,26648,977,19964,989,3199,482,13,1417,938,502,2260,1011
20115,7142,647,6039,697,740,265,17,39,73,115,502,345
20117,2295,396,2031,411,196,98,18,11,33,39,48,54
20118,7,13,0,12,7,13,12,0,0,36,0,36
20119,3850,515,3586,502,61,62,12,87,0,36,232,282
20120,41312,1117,23663,1051,2717,663,73,11867,1136,657,3858,1208
20121,29426,848,15252,1097,2761,552,144,8418,1604,733,2782,761
20124,15114,682,10843,620,638,253,19,2658,126,161,1698,487
20129,522,204,365,175,59,102,12,28,0,36,140,188
20130,236,101,236,101,0,12,12,0,0,36,0,36
20132,18053,739,15998,763,737,312,28,657,81,108,1160,496
20135,3187,512,2941,447,173,186,12,51,11,48,22,50
20136,29875,1104,20708,980,3660,488,69,3065,684,403,3516,1108
20137,1527,277,1454,268,24,27,12,15,14,43,40,64
20139,245,169,245,169,0,12,12,0,0,36,0,36
20141,7853,893,7125,906,207,209,18,245,27,40,498,313
20143,827,242,679,200,14,21,12,101,15,47,36,70
20144,1086,321,979,316,98,77,12,0,0,36,18,40
20147,63878,1065,41835,1103,5084,573,56,11792,1738,608,6858,1353
20148,51243,1170,24053,971,4344,642,103,18601,895,457,6700,1496
20151,23068,1047,12438,929,1393,539,15,7687,813,506,1474,572
20152,35302,1048,17041,945,2662,489,41,12715,809,375,4150,1176
20155,36642,1101,25087,1197,4387,538,194,4561,963,586,3288,838
20158,4610,652,4106,600,8,10,13,204,50,66,484,452
20164,41684,1507,24623,1562,3490,614,144,5929,5527,1347,4230,1267
20165,31912,774,23345,766,1799,469,32,3886,1090,403,3584,908
20166,12236,1035,5525,928,1017,364,57,3876,1154,470,1328,475
20169,25619,747,18714,707,2400,437,17,2055,284,196,4332,1189
20170,42690,700,26105,1427,3139,493,111,7474,4532,1194,2880,921
20171,51093,1137,25943,1115,5193,1095,99,17304,773,478,3760,783
20175,34857,1174,28444,1131,2510,552,96,1893,610,376,2800,872
20176,52862,1324,37435,1290,4401,667,80,6088,2557,1023,4762,1851
20180,7705,361,7036,358,236,105,20,203,86,93,288,147
20181,9350,603,8435,606,394,203,13,195,64,84,524,267
20184,496,241,429,225,67,102,12,0,0,36,0,36
20186,14839,484,12521,592,1211,386,32,532,148,167,854,482
20187,18738,717,16393,754,1425,332,34,288,107,100,1050,459
20190,19950,979,14245,751,2449,655,24,2072,365,258,1638,732
20191,30181,712,21003,924,3594,600,23,3206,752,409,3252,1030
20194,12467,468,9776,501,367,152,19,1485,173,138,1332,431
20197,2467,539,2217,504,3,7,12,80,22,62,290,312
20198,1905,497,1847,493,32,40,12,0,0,36,52,66
20202,0,12,0,12,0,12,12,0,0,36,0,36
20204,0,12,0,12,0,12,12,0,0,36,0,36
20228,0,12,0,12,0,12,12,0,0,36,0,36
20230,0,12,0,12,0,12,12,0,0,36,0,36
20240,0,12,0,12,0,12,12,0,0,36,0,36
20245,0,12,0,12,0,12,12,0,0,36,0,36
20260,0,12,0,12,0,12,12,0,0,36,0,36
20307,66,109,46,71,3,7,12,0,0,36,34,88
20317,416,139,330,126,81,49,12,0,5,35,0,36
20319,36,25,19,28,3,6,12,12,0,36,4,22
20373,141,83,110,64,12,16,12,0,3,33,32,50
20390,326,151,250,139,30,31,12,0,24,57,44,70
20405,0,12,0,12,0,12,12,0,0,36,0,36
20418,0,12,0,12,0,12,12,0,0,36,0,36
20427,0,12,0,12,0,12,12,0,0,36,0,36
20506,0,12,0,12,0,12,12,0,0,36,0,36
20510,0,12,0,12,0,12,12,0,0,36,0,36
20520,0,12,0,12,0,12,12,0,0,36,0,36
20535,0,12,0,12,0,12,12,0,0,36,0,36
20540,0,12,0,12,0,12,12,0,0,36,0,36
20551,0,12,0,12,0,12,12,0,0,36,0,36
20553,0,12,0,12,0,12,12,0,0,36,0,36
20560,0,12,0,12,0,12,12,0,0,36,0,36
20565,0,12,0,12,0,12,12,0,0,36,0,36
20566,0,12,0,12,0,12,12,0,0,36,0,36
20593,0,12,0,12,0,12,12,0,0,36,0,36
20601,25517,1367,9892,1149,13071,1173,55,870,404,269,2560,738
20602,26550,1088,7587,678,15849,1039,139,692,507,281,3830,1253
20603,31975,1042,9128,693,18948,1132,113,1731,391,303,3554,1095
20606,374,186,260,141,55,83,12,0,0,36,118,196
20607,10843,810,2048,426,6956,708,107,821,331,397,1374,577
20608,860,191,176,64,424,156,12,5,0,36,510,397
20609,1151,285,864,233,195,167,12,0,0,36,184,270
20611,1634,338,1092,275,382,226,12,12,0,36,296,326
20612,203,146,155,129,0,12,12,0,0,36,96,166
20613,14020,956,2921,442,9451,750,92,323,717,464,1216,712
20615,421,190,421,190,0,12,12,0,0,36,0,36
20616,6389,852,1500,319,3860,674,17,316,86,113,1254,1077
20617,832,260,706,235,91,90,12,0,0,36,70,97
20618,406,160,351,155,37,46,12,4,0,36,28,52
20619,15052,1018,11913,1005,1523,522,42,229,464,415,1846,811
20620,1369,487,1047,467,157,103,12,111,0,36,108,108
20621,960,329,715,280,229,164,12,0,0,36,32,50
20622,6887,865,5120,768,1028,339,17,151,55,81,1066,717
20623,2997,349,282,167,2447,316,12,121,22,59,250,200
20624,1409,256,1278,250,120,131,12,0,0,36,22,46
20625,646,301,558,296,52,83,12,0,0,36,72,130
20626,304,120,246,104,0,12,48,0,29,72,58,82
20628,477,275,316,212,142,209,12,0,0,36,38,72
20629,383,281,383,281,0,12,12,0,0,36,0,36
20630,301,146,176,119,114,99,12,0,0,36,22,52
20632,432,187,333,152,34,53,12,0,0,36,130,181
20634,6478,969,4416,845,1669,601,17,77,142,165,348,269
20636,10805,1009,10161,951,206,158,19,154,17,67,534,463
20637,5751,725,3897,536,1453,492,17,172,19,64,420,321
20639,15793,662,12526,781,1444,336,19,598,80,114,2290,857
20640,10333,706,4286,528,5000,605,53,453,135,133,918,388
20645,749,165,725,170,24,38,12,0,0,36,0,36
20646,21951,939,14953,717,5339,824,134,540,259,195,1720,765
20650,14672,874,11662,792,1592,401,6,572,29,58,1634,958
20653,24274,1303,14440,1028,7199,874,22,1366,420,331,1698,595
20657,19226,847,15599,931,2597,605,19,167,57,84,1612,647
20658,848,241,551,154,184,104,17,2,11,41,200,170
20659,23312,1085,20996,1078,1856,434,22,57,13,59,780,452
20660,0,12,0,12,0,12,12,0,0,36,0,36
20662,2876,467,1654,284,895,319,15,20,10,39,594,502
20664,3462,532,2503,450,860,278,49,10,32,73,114,152
20667,633,385,233,158,350,386,12,0,0,36,100,184
20670,1441,327,939,326,294,147,44,77,45,82,172,130
20674,848,467,609,381,94,90,12,17,21,58,214,272
20675,2017,453,1256,317,512,205,48,44,32,72,346,406
20676,3848,519,3123,451,441,239,12,0,89,95,390,302
20677,2416,392,1944,369,454,225,12,0,0,36,36,52
20678,12261,704,8784,595,2585,352,108,215,227,271,900,507
20680,934,356,795,329,111,134,12,0,0,36,56,90
20684,1066,378,965,376,77,59,12,0,0,36,48,94
20685,6942,684,5897,585,737,283,17,16,0,51,584,341
20686,1775,482,1512,462,133,59,12,88,0,36,84,60
20687,448,198,354,153,0,12,12,45,0,36,98,180
20688,1749,378,1714,372,32,28,12,0,0,36,6,26
20689,2081,342,1531,317,384,162,12,18,28,61,240,238
20690,905,309,812,311,51,58,12,42,0,36,0,36
20692,899,402,886,404,13,23,12,0,0,36,0,36
20693,833,224,700,190,89,91,22,0,15,46,58,98
20695,8089,893,2971,438,4702,819,17,128,95,142,386,377
20701,92,83,39,35,53,86,12,0,0,36,0,36
20705,27663,1241,7923,748,11326,1113,98,2844,4785,1188,1570,711
20706,43670,1754,4749,767,29931,1686,26,1533,6731,1248,1452,608
20707,32798,979,10556,879,15311,943,110,2827,2591,825,3026,752
20708,27843,1315,5160,737,18315,1276,73,1270,2305,746,1586,674
20710,9553,326,1131,481,6400,716,17,255,1555,617,424,401
20711,7413,572,5341,470,1250,288,95,79,594,527,298,289
20712,9608,384,1867,374,3903,557,49,216,3298,716,648,401
20714,4683,595,4078,526,283,140,12,201,6,35,230,174
20715,27556,977,14615,682,9278,790,22,1454,946,525,2526,779
20716,22237,781,5227,520,13981,887,83,1252,720,406,2114,648
20720,22971,1046,4006,514,16221,918,13,1462,289,215,1986,1020
20721,29730,1304,2269,343,25422,1354,79,483,516,393,2080,714
20722,5728,379,1235,237,1862,283,37,286,2130,420,430,259
20723,35411,1115,15143,1103,10986,1460,49,6639,760,386,3766,1361
20724,17513,1129,7027,681,8250,1090,35,1210,498,428,1056,639
20732,9820,555,8222,642,887,278,67,137,79,129,990,481
20733,2777,334,2156,299,353,101,47,107,112,134,98,164
20735,38220,1244,3463,542,31504,1263,162,1053,1570,697,1260,532
20736,9248,627,7727,608,1020,340,17,128,97,165,552,391
20737,22295,1170,4725,736,6473,600,286,599,9688,1558,1620,752
20740,31349,518,15781,1005,6753,723,48,4381,2892,755,3084,1243
20742,6726,366,4260,368,769,179,17,1230,176,101,582,215
20743,37888,1083,1776,404,32584,1202,223,297,2510,844,1442,493
20744,54925,1729,5077,628,38468,1353,501,3285,6265,1649,3660,1105
20745,27790,1238,2301,621,19206,1177,151,1051,4656,1207,1152,777
20746,27041,1515,2044,452,22264,1603,100,518,1703,918,1024,518
20747,40484,1405,1444,342,36344,1238,45,348,1689,653,1318,537
20748,38904,1486,2051,364,33409,1442,105,254,2185,652,2010,829
20751,2091,311,2063,311,11,15,10,0,17,36,0,36
20754,7124,404,6198,408,462,252,19,246,64,94,308,167
20755,10873,893,6857,719,2038,462,36,653,286,228,2078,566
20758,451,164,394,143,45,70,12,0,12,44,0,36
20759,5311,576,3551,414,777,457,28,720,46,85,434,309
20762,3079,382,1896,297,680,207,12,88,65,63,700,372
20763,1635,484,1294,397,147,94,12,130,0,36,128,180
20764,3829,522,3197,484,364,185,12,127,10,40,262,252
20765,407,168,221,109,186,132,12,0,0,36,0,36
20769,6222,722,1104,299,4150,548,17,499,292,188,354,503
20770,24560,555,7078,661,11769,785,117,2205,2782,949,1452,586
20772,45321,1325,5719,509,36070,1408,45,568,1491,672,2946,756
20774,47165,1538,2652,602,41538,1699,67,939,856,676,2360,806
20776,3271,604,2485,481,501,230,12,0,0,36,570,520
20777,3687,446,2637,309,222,215,12,604,68,125,312,294
20778,2079,446,2022,434,34,50,12,0,0,36,46,66
20779,993,243,843,232,45,50,12,31,0,36,148,170
20781,11694,815,4099,477,3496,522,43,195,3467,697,874,384
20782,33398,1594,6725,647,12166,997,106,1531,12258,1993,1436,582
20783,45302,1659,4616,596,11040,921,131,1831,27208,1722,1214,628
20784,30270,1081,4353,860,16014,940,49,566,8461,1149,1752,703
20785,38878,1238,4828,718,29456,1147,186,675,2862,830,2114,666
20794,17939,1258,8221,807,7900,1081,28,817,439,317,1124,595
20812,309,71,278,61,16,20,12,1,8,37,12,16
20814,29021,899,23182,780,1581,431,44,2634,294,173,2660,693
20815,30664,861,25468,731,1555,396,182,2175,519,334,1894,498
20816,16316,556,14397,561,333,167,25,984,91,96,1022,395
20817,37315,971,28255,975,1830,503,18,5178,705,406,2694,643
20818,1971,267,1524,301,65,66,12,280,57,80,90,114
20832,26437,669,17441,759,3566,593,103,2892,1162,550,2752,979
20833,7369,537,5412,531,712,299,127,574,197,213,948,727
20837,6287,276,5309,358,431,73,98,332,87,153,256,249
20838,302,124,276,97,0,12,12,2,13,42,22,44
20839,97,132,97,132,0,12,12,0,0,36,0,36
20841,11443,728,4242,481,2115,565,19,4661,110,179,630,380
20842,1676,254,1517,257,82,63,12,5,39,76,66,74
20850,53176,1215,28568,1301,7096,946,72,12661,2197,719,5308,1240
20851,15489,1214,8732,1167,1349,288,84,2589,2198,997,1242,561
20852,46178,1465,27870,1301,4755,725,138,8538,1932,738,6166,1728
20853,31061,945,18075,846,3276,535,147,4240,4360,1000,2220,802
20854,49189,1010,32999,1024,2795,642,14,11583,442,352,2740,824
20855,15287,1038,9806,849,1270,350,34,2922,623,528,1332,460
20860,2855,611,1615,340,908,424,12,228,0,36,208,346
20861,1449,285,1194,246,123,121,12,106,0,36,52,88
20862,341,98,341,98,0,12,12,0,0,36,0,36
20866,16365,961,4010,566,8367,1031,43,2650,1001,623,674,423
20868,780,281,460,296,89,68,12,69,0,36,324,401
20871,18628,923,7582,614,3254,618,119,6214,748,555,1660,1114
