ID,Name,PropertyValue,AGI_incl,AGI_excl,RetailValue,Population,WhitePop,AfricanAmericanPop,AsianPop,OtherPop
0,Accomack County,4451393611.00,535509744.00,NULL,271079648.00,"32,316","21,899","9,304",257,856
1,Albemarle County,18722429089.00,3178963481.00,NULL,1108475225.00,"109,330","89,388","10,600","6,051",3291
2,Alleghany County,1193877227.00,269993000.00,NULL,63621550.00,"14,860","13,783",698,46,333
3,Amelia County,1471101455.00,228781960.00,NULL,52631040.00,"13,145","10,050","2,688",80,327
4,Amherst County,2940532414.00,525117321.00,NULL,225671259.00,"31,605","24,299","6,041",180,1085
5,Appomattox County,1390121858.00,247934156.00,NULL,77312061.00,"15,911","12,521","2,951",61,378
6,Arlington County,60313707986.00,10381698517.00,NULL,2959336528.00,"236,842","177,639","22,922","25,945",10336
7,Augusta County,8697115964.00,1440303585.00,NULL,394755753.00,"75,558","70,102","3,518",490,1448
8,Bath County,2554342263.00,91376356.00,NULL,59861255.00,"4,147","3,853",201,20,73
9,Bedford County,9799015089.00,1534183181.00,NULL,335456497.00,"78,997","70,750","5,697",975,1575
10,Bland County,715482876.00,98373937.00,NULL,15489051.00,"6,280","5,919",250,36,75
11,Botetourt County,3873486982.00,766184164.00,NULL,166563450.00,"33,419","31,456","1,093",262,608
12,Brunswick County,1555159665.00,211170894.00,NULL,53669629.00,"16,231","6,881","8,890",151,309
13,Buchanan County,2738821286.00,333508188.00,NULL,127560716.00,"21,004","20,013",710,93,188
14,Buckingham County,1521850858.00,208360136.00,NULL,106085130.00,"17,148","10,850","5,783",74,441
15,Campbell County,4171727992.00,918220201.00,NULL,370419571.00,"54,885","44,735","8,123",592,1435
16,Caroline County,2876250243.00,565699218.00,NULL,110948698.00,"30,725","20,639","8,349",347,1390
17,Carroll County,2863037039.00,372833027.00,NULL,132878892.00,"29,791","28,964",263,68,496
18,Charles City County,976467743.00,143623749.00,NULL,20564186.00,"6,963","3,116","3,093",44,710
19,Charlotte County,1092616972.00,169179451.00,NULL,44121579.00,"11,880","8,302","3,281",34,263
20,Chesterfield County,34170453428.00,8384040920.00,NULL,3345047845.00,"352,802","240,557","86,561","12,959",12725
21,Clarke County,2264920530.00,422765870.00,NULL,71433980.00,"14,619","13,251",681,210,477
22,Craig County,541562085.00,83653660.00,NULL,12886883.00,"5,131","5,032",23,8,68
23,Culpeper County,5281074170.00,1014489930.00,NULL,480170802.00,"52,605","41,789","7,672",892,2252
24,Cumberland County,1069699525.00,136107935.00,NULL,29821670.00,"9,932","6,540","3,029",46,317
25,Dickenson County,1517983403.00,198111502.00,NULL,64054958.00,"14,318","14,063",76,32,147
26,Dinwiddie County,2889082395.00,489339910.00,NULL,95609217.00,"28,544","18,490","9,196",240,618
27,Essex County,1602160518.00,198756646.00,NULL,164186905.00,"10,953","6,273","4,100",127,453
28,Fairfax County,218889435802.00,47640758200.00,NULL,12932168326.00,"1,147,532","742,178","121,954","231,085",52315
29,Fauquier County,11942754221.00,2306956870.00,NULL,587631303.00,"71,222","61,981","5,574","1,230",2437
30,Floyd County,1836002655.00,238559214.00,NULL,59345578.00,"15,749","15,046",319,84,300
31,Fluvanna County,3451515106.00,531321109.00,NULL,90658684.00,"27,270","22,003","4,160",257,850
32,Franklin County,7957254842.00,931336456.00,NULL,340399968.00,"56,042","50,202","4,430",263,1147
33,Frederick County,8239674671.00,1880092732.00,NULL,813226140.00,"89,313","80,867","4,225","1,573",2648
34,Giles County,1341666055.00,275469326.00,NULL,124648378.00,"16,720","16,097",267,97,259
35,Gloucester County,4635615530.00,814446887.00,NULL,333790286.00,"37,348","32,799","2,983",333,1233
36,Goochland County,5273258201.00,1048774887.00,NULL,194700272.00,"23,753","19,106","3,743",409,495
37,Grayson County,1915208078.00,198634460.00,190702662.00,35319877.00,"15,550","14,381",893,32,244
38,Greene County,2343267306.00,359663639.00,NULL,105375993.00,"19,819","17,358","1,450",394,617
39,Greensville County,746838875.00,190573081.00,146409903.00,35419647.00,"11,336","4,281","6,823",79,153
40,Halifax County,3793992927.00,517691742.00,NULL,270520889.00,"33,911","20,746","12,305",237,623
41,Hanover County,13548365625.00,2839509086.00,NULL,1438740565.00,"107,766","92,633","10,264","2,094",2775
42,Henrico County,35833063765.00,8292268311.00,NULL,4632418985.00,"330,818","188,617","102,135","30,152",9914
43,Henry County,3356872357.00,749213920.00,NULL,343985994.00,"50,557","37,625","11,434",254,1244
44,Highland County,812256710.00,37733245.00,NULL,7978254.00,"2,190","2,138",24,14,14
45,Isle Of Wight County,5011976295.00,877326673.00,NULL,200079929.00,"37,109","26,981","8,617",363,1148
46,James City County,11704349566.00,2002634441.00,NULL,787049384.00,"76,523","61,473","10,433","2,023",2594
47,King George County,3048840616.00,611890026.00,NULL,108703459.00,"26,836","20,900","4,311",432,1193
48,King And Queen County,912792994.00,125931366.00,NULL,10935587.00,"7,025","4,844","1,840",35,306
49,King William County,1477048296.00,280287821.00,NULL,60825620.00,"17,148","13,608","2,645",193,702
50,Lancaster County,3066525255.00,262669013.00,NULL,156915351.00,"10,603","7,315","3,011",83,194
51,Lee County,1138598241.00,283189934.00,273717828.00,122851363.00,"23,423","22,140",872,71,340
52,Loudoun County,60025322925.00,12996829711.00,NULL,4113301056.00,"413,538","277,252","33,465","84,135",18686
53,Louisa County,7378492832.00,665566237.00,NULL,172685317.00,"37,591","30,378","5,846",243,1124
54,Lunenburg County,966577224.00,157484480.00,NULL,36919723.00,"12,196","7,672","4,130",42,352
55,Madison County,2065582569.00,271463594.00,NULL,71755844.00,"13,261","11,521","1,229",83,428
56,Mathews County,1936040362.00,200403944.00,NULL,37936707.00,"8,834","7,783",747,77,227
57,Mecklenburg County,4245951586.00,477336257.00,461110584.00,298261310.00,"30,587","19,040","10,570",257,720
58,Middlesex County,2665733193.00,226564895.00,NULL,78146239.00,"10,582","8,475","1,759",51,297
59,Montgomery County,7571036490.00,1828461254.00,NULL,897455302.00,"98,535","85,207","4,238","6,245",2845
60,Nelson County,3296671052.00,302922511.00,NULL,78531849.00,"14,930","12,685","1,701",113,431
61,New Kent County,2612081661.00,495356331.00,NULL,96749625.00,"23,091","18,662","3,200",282,947
62,Northampton County,2438752588.00,214924855.00,NULL,107848718.00,"11,710","7,341","3,952",122,295
63,Northumberland County,3720688654.00,260841950.00,NULL,61993865.00,"12,095","8,757","3,022",62,254
64,Nottoway County,1020120983.00,226315885.00,217967050.00,110611764.00,"15,232","8,763","5,990",85,394
65,Orange County,4159528827.00,762194193.00,NULL,189399791.00,"37,051","30,473","4,912",399,1267
66,Page County,2519461772.00,373571393.00,NULL,153255687.00,"23,902","22,832",532,121,417
67,Patrick County,1868573620.00,230675685.00,222990292.00,79025076.00,"17,608","16,285",927,59,337
68,Pittsylvania County,4630668758.00,992581688.00,NULL,157896368.00,"60,354","45,990","12,970",303,1091
69,Powhatan County,3768071226.00,714500138.00,NULL,259048779.00,"29,652","26,096","2,726",178,652
70,Prince Edward County,1684745928.00,285230086.00,NULL,280851800.00,"22,802","14,447","7,488",318,549
71,Prince George County,3006322600.00,632869943.00,NULL,134668790.00,"38,353","23,121","12,510",837,1885
72,Prince William County,47023200683.00,11672434334.00,NULL,4109331787.00,"470,335","293,398","104,512","44,429",27996
73,Pulaski County,2936267440.00,535032497.00,NULL,291214848.00,"34,027","31,400","1,718",227,682
74,Rappahannock County,2288501916.00,218259276.00,NULL,31680550.00,"7,370","6,807",309,71,183
75,Richmond County,1091482700.00,176117908.00,146301215.00,56072123.00,"9,023","6,023","2,675",64,261
76,Roanoke County,9062997920.00,2355442647.00,NULL,890021337.00,"94,186","82,798","6,032","3,282",2074
77,Rockbridge County,3254944382.00,387933057.00,NULL,217744946.00,"22,573","21,117",746,168,542
78,Rockingham County,9390464650.00,1536569388.00,NULL,421254549.00,"81,948","77,183","2,082",800,1883
79,Russell County,2015005479.00,396484086.00,NULL,157889960.00,"26,586","25,942",285,64,295
80,Scott County,1152134993.00,322409373.00,299350737.00,120653864.00,"21,566","21,040",197,41,288
81,Shenandoah County,5111900588.00,770847634.00,NULL,313123017.00,"43,616","40,821","1,269",484,1042
82,Smyth County,1951418489.00,436266742.00,NULL,187575308.00,"30,104","28,803",748,153,400
83,Southampton County,2090405125.00,325204856.00,NULL,42834335.00,"17,631","10,982","6,125",90,434
84,Spotsylvania County,12451885778.00,3139133057.00,NULL,1347926498.00,"136,215","102,759","23,797","3,859",5800
85,Stafford County,14446057649.00,3527044546.00,NULL,879152862.00,"152,882","108,430","30,586","5,493",8373
86,Surry County,2358692464.00,128139517.00,NULL,33281244.00,"6,422","3,544","2,668",32,178
87,Sussex County,1076099417.00,150230747.00,NULL,62290109.00,"11,159","4,607","6,263",51,238
88,Tazewell County,2796301917.00,747436763.00,NULL,532354983.00,"40,595","38,470","1,310",264,551
89,Warren County,4327090288.00,805069155.00,NULL,324533521.00,"40,164","36,335","1,993",532,1304
90,Washington County,5092504649.00,1054009850.00,991515511.00,601650200.00,"53,740","51,980",816,291,653
91,Westmoreland County,2165391499.00,252912768.00,NULL,63242133.00,"18,015","12,469","4,704",161,681
