id,county_id,Name,AltName,OrigName,State,County1,County2,County3,OrigCounty,Established,Discontinued,Continuous,StampIndex,ID,Coordinates,Duration,GNIS.Match,GNIS.Name,GNIS.County,GNIS.State,GNIS.FEATURE_ID,GNIS.Feature.Class,GNIS.OrigName,GNIS.OrigCounty,GNIS.Latitude,GNIS.Longitude,GNIS.ELEV_IN_M,GNIS.Dist,Latitude,Longitude
0,17,AARON,,AARON,VA,CARROLL,,,Carroll,1881,1911,FALSE,4,64318,FALSE,30,FALSE,,,,,,,,,,,,,
1,17,ABBIE,,ABBIE,VA,CARROLL,,,Carroll,1900,1904,TRUE,6,64334,FALSE,4,FALSE,,,,,,,,,,,,,
2,22,ABBOTT,,ABBOTT,VA,CRAIG,,,Craig,1873,1935,TRUE,2,64339,TRUE,62,TRUE,ABBOTT,CRAIG,VA,1495179,Populated Place,Abbott,Craig,37.4292967,-80.1394911,418,1,37.4292967,-80.1394911
3,88,ABB'S VALLEY,ABBS VALLEY,ABB'S VALLEY,VA,TAZEWELL,,,Tazewell,1848,1891,FALSE,5,64348,TRUE,43,TRUE,ABBS VALLEY,TAZEWELL,VA,1499037,Populated Place,Abbs Valley,Tazewell,37.2440047,-81.4523273,797,1,37.2440047,-81.4523273
4,57,ABBYVILLE,ABBYSVILLE,ABBY(S)VILLE,VA,MECKLENBURG,,,Mecklenburg,1823,1908,FALSE,4,64349,FALSE,85,FALSE,,,,,,,,,,,,,
5,19,ABELL,,ABELL,VA,CHARLOTTE,,,Charlotte,1889,1906,TRUE,5,64358,TRUE,17,TRUE,ABELL,CHARLOTTE,VA,1690048,Populated Place,Abell (historical),Charlotte,37.0715322,-78.8508434,189,1,37.0715322,-78.8508434
6,3,ABERCORN,,ABERCORN,VA,AMELIA,,,Amelia,1895,1908,TRUE,5,64361,FALSE,13,FALSE,,,,,,,,,,,,,
7,4,ABERT,,ABERT,VA,AMHERST,,,Amherst,1887,1919,FALSE,4,64371,FALSE,32,FALSE,,,,,,,,,,,,,
8,19,ABILENE,,ABILENE,VA,CHARLOTTE,,,Charlotte,1894,1960,FALSE,1,64375,TRUE,66,TRUE,ABILENE,CHARLOTTE,VA,1492445,Populated Place,Abilene,Charlotte,37.1415394,-78.5441634,176,1,37.1415394,-78.5441634
9,90,ABINGDON,COURTHOUSE,ABINGDON (COURTHOUSE),VA,WASHINGTON,,,Washington,1792,,TRUE,0,64381,TRUE,,TRUE,ABINGDON,WASHINGTON,VA,1499032,Post Office,Abingdon Post Office,Washington,36.7083898,-81.9807016,632,1,36.7083898,-81.9807016
10,30,ABRAHAM,,ABRAHAM,VA,FLOYD,,,Floyd,1886,1904,TRUE,5,64388,FALSE,18,FALSE,,,,,,,,,,,,,
11,90,ABRAMS FALLS,,ABRAMS FALLS,VA,WASHINGTON,,,Washington,1889,1913,TRUE,4,64392,TRUE,24,TRUE,ABRAMS FALLS,WASHINGTON,VA,1462341,Church,Abrams Falls Church,Washington,36.6801037,-82.2765279,430,,36.6801037,-82.2765279
12,41,ACACIA,,ACACIA,VA,HANOVER,,,Hanover,1881,1881,TRUE,8,64401,FALSE,0,FALSE,,,,,,,,,,,,,
13,51,ACADIA,,ACADIA,VA,LEE,,,Lee,1896,1902,TRUE,5,64405,FALSE,6,FALSE,,,,,,,,,,,,,
14,85,ACCOKEEK,,ACCOKEEK,VA,STAFFORD,,,Stafford,1857,1873,FALSE,7,64412,FALSE,16,FALSE,,,,,,,,,,,,,
15,0,ACCOMAC COURTHOUSE,ACCOMACK COURTHOUSE,ACCOMAC(K) COURTHOUSE,VA,ACCOMACK,,,Accomack,1792,,TRUE,0,64413,TRUE,,TRUE,ACCOMAC COURT HOUSE,ACCOMACK,VA,1498445,Populated Place,Accomac Court House,Accomack,37.7195742,-75.6654845,12,0.944444444444444,37.7195742,-75.6654845
16,0,ACCOMAN,,ACCOMAN,VA,ACCOMACK,,,Accomack,1833,1848,TRUE,3,64414,TRUE,15,TRUE,ACCOMAC,ACCOMACK,VA,1779632,Post Office,Accomac Post Office,Accomack,37.7193883,-75.6697893,12,0.857142857142857,37.7193883,-75.6697893
17,28,ACCOTINK,,ACCOTINK,VA,FAIRFAX,,,Fairfax,1849,1935,TRUE,2,64417,TRUE,86,TRUE,ACCOTINK,FAIRFAX,VA,1494807,Populated Place,Accotink,Fairfax,38.7084486,-77.1594248,11,1,38.7084486,-77.1594248
18,35,ACHILLES,,ACHILLES,VA,GLOUCESTER,,,Gloucester,1890,,TRUE,0,64422,TRUE,,TRUE,ACHILLES,GLOUCESTER,VA,1778953,Post Office,Achilles Post Office,Gloucester,37.2798858,-76.4416931,2,1,37.2798858,-76.4416931
19,55,ACHSAH,,ACHSAH,VA,MADISON,,,Madison,1905,1963,TRUE,1,64424,FALSE,58,FALSE,,,,,,,,,,,,,
20,40,ACORN,,ACORN,VA,HALIFAX,,,Halifax,1898,1904,TRUE,5,64444,TRUE,6,TRUE,ACORN,HALIFAX,VA,1496779,Populated Place,Acorn,Halifax,36.9662507,-78.9825141,195,1,36.9662507,-78.9825141
21,91,ACORN,,ACORN,VA,WESTMORELAND,,,Westmoreland,1907,1968,TRUE,1,64445,TRUE,61,TRUE,ACORN,WESTMORELAND,VA,1477060,Populated Place,Acorn,Westmoreland,38.0192976,-76.6491233,40,1,38.0192976,-76.6491233
22,33,ACORN HILL,,ACORN HILL,VA,FREDERICK,,,Frederick,1858,1885,FALSE,6,64449,FALSE,27,FALSE,,,,,,,,,,,,,
23,85,ACQUIA CREEK,,ACQUIA CREEK,VA,STAFFORD,,,Stafford,1869,1870,TRUE,9,64451,TRUE,1,TRUE,ACQUIA CREEK,STAFFORD,VA,2458857,Populated Place,Acquia Creek,Stafford,38.4307,-77.3764,41,1,38.4307,-77.3764
24,49,ACQUINTON,,ACQUINTON,VA,KING WILLIAM,,,King William,1849,1866,TRUE,7,64452,TRUE,17,TRUE,ACQUINTON,KING WILLIAM,VA,2465034,School,Acquinton Elementary School,King William,37.6931097,-77.0345321,41,1,37.6931097,-77.0345321
25,4,ACREE,,ACREE,VA,AMHERST,,,Amherst,1903,1904,TRUE,7,64453,FALSE,1,FALSE,,,,,,,,,,,,,
26,70,ACTEON,,ACTEON,VA,PRINCE EDWARD,,,Prince Edward,1890,1906,TRUE,5,64455,FALSE,16,FALSE,,,,,,,,,,,,,
27,29,ADA,,ADA,VA,FAUQUIER,,,Fauquier,1895,1905,TRUE,5,64465,TRUE,10,TRUE,ADA,FAUQUIER,VA,1496780,Populated Place,Ada,Fauquier,38.8370583,-77.9183286,219,1,38.8370583,-77.9183286
28,80,ADAMAR,,ADAMAR,VA,SCOTT,,,Scott,1904,1913,TRUE,4,64488,FALSE,9,FALSE,,,,,,,,,,,,,
29,67,ADAMS,,ADAMS,VA,PATRICK,,,Patrick,1833,1835,TRUE,9,64500,FALSE,2,FALSE,,,,,,,,,,,,,
30,83,ADAMS GROVE,,ADAMS GROVE,VA,SOUTHAMPTON,,,Southampton,1881,1957,TRUE,1,64509,TRUE,76,TRUE,ADAMS GROVE,SOUTHAMPTON,VA,1477062,Populated Place,Adams Grove,Southampton,36.6932056,-77.3852524,28,1,36.6932056,-77.3852524
31,68,ADAMS MILL,,ADAMS MILL,VA,PITTSYLVANIA,,,Pittsylvania,1828,1828,TRUE,9,64511,FALSE,0,FALSE,,,,,,,,,,,,,
32,26,ADDISON,,ADDISON,VA,DINWIDDIE,,,Dinwiddie,1903,1922,TRUE,3,64546,TRUE,19,TRUE,ADDISON,DINWIDDIE,VA,1499041,Populated Place,Addison,Dinwiddie,37.1976505,-77.502486,58,1,37.1976505,-77.502486
33,70,ADELLE,,ADELLE,VA,PRINCE EDWARD,,,Prince Edward,1902,1905,TRUE,5,64565,FALSE,3,FALSE,,,,,,,,,,,,,
34,80,ADELPHIA,,ADELPHIA,VA,SCOTT,,,Scott,1893,1907,TRUE,5,64569,FALSE,14,FALSE,,,,,,,,,,,,,
35,72,ADEN,,ADEN,VA,PRINCE WILLIAM,,,Prince William,1890,1908,TRUE,5,64572,TRUE,18,TRUE,ADEN,PRINCE WILLIAM,VA,1496782,Populated Place,Aden,Prince William,38.6551191,-77.5372104,64,1,38.6551191,-77.5372104
36,60,ADIAL,,ADIAL,VA,NELSON,,,Nelson,1899,1941,TRUE,2,64575,TRUE,42,TRUE,ADIAL,NELSON,VA,1495183,Populated Place,Adial,Nelson,37.8648627,-78.8302989,171,1,37.8648627,-78.8302989
37,83,ADLAI,,ADLAI,VA,SOUTHAMPTON,,,Southampton,1893,1894,TRUE,5,64584,FALSE,1,FALSE,,,,,,,,,,,,,
38,7,ADLAI,,ADLAI,VA,AUGUSTA,,,Augusta,1895,1907,TRUE,5,64585,FALSE,12,FALSE,,,,,,,,,,,,,
39,51,ADMANT,,ADMANT,VA,LEE,,,Lee,1894,1906,TRUE,5,64588,FALSE,12,FALSE,,,,,,,,,,,,,
40,35,ADNER,,ADNER,VA,GLOUCESTER,,,Gloucester,1892,1956,TRUE,1,64591,TRUE,64,TRUE,ADNER,GLOUCESTER,VA,1495184,Populated Place,Adner,Gloucester,37.498753,-76.6332884,27,1,37.498753,-76.6332884
41,40,ADONIS,,ADONIS,VA,HALIFAX,,,Halifax,1900,1903,TRUE,6,64599,FALSE,3,FALSE,,,,,,,,,,,,,
42,88,ADRIA,,ADRIA,VA,TAZEWELL,,,Tazewell,1895,1929,TRUE,3,64601,TRUE,34,TRUE,ADRIA,TAZEWELL,VA,1462375,Populated Place,Adria,Tazewell,37.1687262,-81.5459425,751,1,37.1687262,-81.5459425
43,24,ADRIANCE,,ADRIANCE,VA,CUMBERLAND,,,Cumberland,1890,1910,FALSE,4,64610,TRUE,20,TRUE,ADRIANCE,CUMBERLAND,VA,1477227,Populated Place,Adriance,Cumberland,37.3968182,-78.3019404,144,1,37.3968182,-78.3019404
44,12,ADSIT,,ADSIT,VA,BRUNSWICK,,,Brunswick,1908,1969,TRUE,1,64611,TRUE,61,TRUE,ADSIT,BRUNSWICK,VA,1499042,Populated Place,Adsit,Brunswick,36.8273707,-77.6980451,88,1,36.8273707,-77.6980451
45,1,ADVANCE MILLS,,ADVANCE MILLS,VA,ALBEMARLE,,,Albemarle,1884,1946,TRUE,1,64622,TRUE,62,TRUE,ADVANCE MILLS,ALBEMARLE,VA,1494174,Populated Place,Advance Mills,Albemarle,38.1831889,-78.4386216,119,1,38.1831889,-78.4386216
46,82,ADWOLF,,ADWOLF,VA,SMYTH,,,Smyth,1886,1903,TRUE,5,64625,TRUE,17,TRUE,ADWOLF,SMYTH,VA,1495185,Populated Place,Adwolf,Smyth,36.7892824,-81.5820609,710,1,36.7892824,-81.5820609
47,60,AFTON,,AFTON,VA,NELSON,,,Nelson,1857,,TRUE,0,64643,TRUE,,TRUE,AFTON,NELSON,VA,2766144,Post Office,Afton Post Office,Nelson,38.0324567,-78.8391393,421,1,38.0324567,-78.8391393
48,60,AGEE,,AGEE,VA,NELSON,,,Nelson,1893,1915,TRUE,4,64654,FALSE,22,FALSE,,,,,,,,,,,,,
49,72,AGNEWVILLE,,AGNEWVILLE,VA,PRINCE WILLIAM,,,Prince William,1891,1927,TRUE,3,64668,TRUE,36,TRUE,AGNEWVILLE,PRINCE WILLIAM,VA,1496783,Populated Place,Agnewville,Prince William,38.6692833,-77.2858168,75,1,38.6692833,-77.2858168
50,4,AGRICOLA,,AGRICOLA,VA,AMHERST,,,Amherst,1902,1963,FALSE,1,64672,TRUE,61,TRUE,AGRICOLA,AMHERST,VA,1499044,Populated Place,Agricola,Amherst,37.5312504,-79.2439176,231,1,37.5312504,-79.2439176
51,45,AGUSTE,,AGUSTE,VA,ISLE OF WIGHT,,,Isle of Wight,1890,1903,TRUE,5,64675,FALSE,13,FALSE,,,,,,,,,,,,,
52,77,AH SID,,AH SID,VA,ROCKBRIDGE,,,Rockbridge,1886,1890,TRUE,7,64677,FALSE,4,FALSE,,,,,,,,,,,,,
53,65,AHALA,,AHALA,VA,ORANGE,,,Orange,1894,1906,FALSE,5,64679,FALSE,12,FALSE,,,,,,,,,,,,,
54,16,AID,,AID,VA,CAROLINE,,,Caroline,1901,1905,TRUE,6,64692,FALSE,4,FALSE,,,,,,,,,,,,,
55,83,AIDYL,,AIDYL,VA,SOUTHAMPTON,,,Southampton,1896,1907,TRUE,5,64694,FALSE,11,FALSE,,,,,,,,,,,,,
